step	idx	score	x	y	w	h	class
58	3	0.3015	59.53	-31.47	2.58	1.05	0
59	0	0.9966	-32.00	-40.00	-0.00	-0.00	0
59	1	0.8007	14.83	0.14	2.78	1.07	0
59	2	0.3272	58.64	-27.48	2.54	1.04	0
59	3	0.3101	61.51	-24.57	2.55	1.05	0
59	4	0.3050	58.54	-31.40	2.55	1.03	0
60	0	0.9962	-32.00	-40.00	-0.00	-0.00	0
60	1	0.9960	-32.00	-40.00	-0.00	-0.00	0
60	2	0.8946	15.36	0.36	2.81	1.09	0
61	0	0.9964	-32.00	-40.00	-0.00	-0.00	0
61	1	0.9960	-32.00	-40.00	-0.00	-0.00	0
61	2	0.8927	15.34	0.39	2.80	1.09	0
62	0	0.9963	-32.00	-40.00	-0.00	-0.00	0
62	1	0.9961	-32.00	-40.00	-0.00	-0.00	0
62	2	0.9950	-32.00	-40.00	-0.00	-0.00	0
62	3	0.8850	15.35	0.46	2.78	1.08	0
63	0	0.9964	-32.00	-40.00	-0.00	-0.00	0
63	1	0.9964	-32.00	-40.00	-0.00	-0.00	0
63	2	0.9950	-32.00	-40.00	-0.00	-0.00	0
63	3	0.8702	15.35	0.48	2.78	1.08	0
63	4	0.3524	61.50	-23.53	2.56	1.05	0
64	0	0.9965	-32.00	-40.00	-0.00	-0.00	0
64	1	0.9965	-32.00	-40.00	0.00	-0.00	0
64	2	0.9951	-32.00	-40.00	-0.00	-0.00	0
64	3	0.8755	15.33	0.49	2.78	1.08	0
64	4	0.3501	61.49	-22.61	2.57	1.05	0
65	0	0.9965	-32.00	-40.00	0.00	-0.00	0
65	1	0.9964	-32.00	-40.00	-0.00	-0.00	0
65	2	0.9951	-32.00	-40.00	-0.00	-0.00	0
65	3	0.8994	15.52	0.49	2.79	1.09	0
65	4	0.3619	61.51	-23.53	2.55	1.04	0
66	0	0.9966	-32.00	-40.00	0.00	-0.00	0
66	1	0.9966	-32.00	-40.00	-0.00	-0.00	0
66	2	0.8923	15.51	0.38	2.79	1.08	0
66	3	0.3250	62.66	-22.63	2.51	1.03	0
66	4	0.3169	31.51	0.43	2.49	1.00	0
67	0	0.9969	-32.00	-40.00	-0.00	-0.00	0
67	1	0.9963	-32.00	-40.00	0.00	-0.00	0
67	2	0.9026	15.52	0.44	2.80	1.09	0
68	0	0.9970	-32.00	-40.00	-0.00	-0.00	0
68	1	0.9963	-32.00	-40.00	-0.00	-0.00	0
68	2	0.8755	15.38	0.35	2.82	1.10	0
69	0	0.9970	-32.00	-40.00	-0.00	-0.00	0
69	1	0.9964	-32.00	-40.00	0.00	-0.00	0
69	2	0.8964	15.53	0.25	2.81	1.09	0
70	0	0.9968	-32.00	-40.00	-0.00	-0.00	0
70	1	0.9962	-32.00	-40.00	-0.00	-0.00	0
70	2	0.8983	15.42	0.12	2.80	1.08	0
71	0	0.9969	-32.00	-40.00	-0.00	-0.00	0
71	1	0.8904	15.44	0.09	2.80	1.08	0
72	0	0.9968	-32.00	-40.00	-0.00	-0.00	0
72	1	0.9957	-32.00	-40.00	-0.00	-0.00	0
72	2	0.8392	15.69	0.07	2.79	1.07	0
72	3	0.3017	37.48	0.12	2.38	0.94	0
73	0	0.9968	-32.00	-40.00	-0.00	-0.00	0
73	1	0.8661	15.77	0.09	2.79	1.09	0
74	0	0.9965	-32.00	-40.00	-0.00	-0.00	0
74	1	0.9959	-32.00	-40.00	-0.00	-0.00	0
74	2	0.8469	15.70	0.09	2.74	1.06	0
75	0	0.9961	-32.00	-40.00	-0.00	-0.00	0
75	1	0.9960	-32.00	-40.00	-0.00	-0.00	0
75	2	0.8051	15.77	0.08	2.74	1.06	0
76	0	0.9969	-32.00	-40.00	-0.00	-0.00	0
76	1	0.9960	-32.00	-40.00	-0.00	-0.00	0
76	2	0.8133	15.79	0.10	2.74	1.06	0
77	0	0.9969	-32.00	-40.00	-0.00	-0.00	0
77	1	0.9961	-32.00	-40.00	-0.00	-0.00	0
77	2	0.8023	16.17	0.14	2.81	1.09	0
78	0	0.9973	-32.00	-40.00	-0.00	-0.00	0
78	1	0.9961	-32.00	-40.00	-0.00	-0.00	0
78	2	0.8566	16.24	0.22	2.81	1.09	0
78	3	0.3003	53.43	-27.45	2.51	1.01	0
79	0	0.9975	-32.00	-40.00	0.00	-0.00	0
79	1	0.9975	-32.00	-40.00	-0.00	-0.00	0
79	2	0.8448	16.22	0.34	2.80	1.09	0
79	3	0.3154	53.43	-30.44	2.50	1.02	0
79	4	0.3129	41.52	0.55	2.38	0.96	0
79	5	0.3079	52.56	-27.41	2.48	1.00	0
80	0	0.9974	-32.00	-40.00	-0.00	-0.00	0
80	1	0.9965	-32.00	-40.00	0.00	-0.00	0
80	2	0.8468	16.24	0.38	2.73	1.06	0
80	3	0.3007	40.53	0.59	2.39	0.96	0
81	0	0.9968	-32.00	-40.00	-0.00	-0.00	0
81	1	0.9966	-32.00	-40.00	0.00	-0.00	0
81	2	0.8726	16.32	0.45	2.80	1.09	0
81	3	0.3505	40.51	0.65	2.40	0.96	0
81	4	0.3108	52.48	-31.37	2.49	1.01	0
82	0	0.9967	-32.00	-40.00	-0.00	-0.00	0
82	1	0.9965	-32.00	-40.00	0.00	-0.00	0
82	2	0.8928	16.43	0.44	2.80	1.09	0
82	3	0.4034	45.46	-27.39	2.51	1.01	0
82	4	0.3170	34.49	0.37	2.51	1.00	0
83	0	0.9981	-32.00	-40.00	-0.00	-0.00	0
83	1	0.9979	-32.00	-40.00	0.00	-0.00	0
83	2	0.8949	16.57	0.44	2.79	1.08	0
83	3	0.3992	45.43	-27.37	2.49	1.01	0
83	4	0.3399	39.52	0.60	2.40	0.96	0
84	0	0.9983	-32.00	-40.00	-0.00	-0.00	0
84	1	0.9978	-32.00	-40.00	-0.00	-0.00	0
84	2	0.8946	16.62	0.39	2.81	1.09	0
84	3	0.3550	44.53	-27.59	2.56	1.03	0
84	4	0.3301	38.53	0.48	2.41	0.96	0
84	5	0.3156	34.51	0.26	2.55	1.02	0
85	0	0.9986	-32.00	-40.00	-0.00	-0.00	0
85	1	0.9968	-32.00	-40.00	-0.00	-0.00	0
85	2	0.8458	17.22	0.28	2.80	1.09	0
85	3	0.3421	40.53	0.35	2.40	0.96	0
85	4	0.3241	44.42	-28.30	2.62	1.05	0
86	0	0.9973	-32.00	-40.00	-0.00	-0.00	0
86	1	0.9963	-32.00	-40.00	-0.00	-0.00	0
