stem,conf_clean,cls_clean,conf_patched,cls_patched,leader_visible_clean,leader_visible_patched
000230,0.5922166705131531,truck,0.0,,True,False
000234,0.0,,0.0,,False,False
000248,0.5778834223747253,truck,0.43603986501693726,bus,True,True
000249,0.7648046016693115,truck,0.6984805464744568,truck,True,True
000251,0.5199785828590393,truck,0.48831936717033386,truck,True,True
000256,0.8121337890625,truck,0.6397910118103027,truck,True,True
000257,0.7063739895820618,truck,0.6151092648506165,bus,True,True
000258,0.44556018710136414,bus,0.8004186749458313,bus,True,True
000271,0.7776795029640198,car,0.7681735754013062,car,True,True
000277,0.0,,0.0,,False,False
000283,0.4161395728588104,truck,0.4429031014442444,truck,True,True
000284,0.5654513239860535,truck,0.6377119421958923,bus,True,True
000286,0.3656776249408722,truck,0.0,,True,False
000287,0.543681800365448,truck,0.4088178277015686,truck,True,True
000289,0.7662591338157654,truck,0.5754400491714478,truck,True,True
000293,0.7807682752609253,truck,0.6686964631080627,truck,True,True
000305,0.3911828398704529,truck,0.2901017665863037,bus,True,True
000312,0.6058780550956726,truck,0.3660699129104614,bus,True,True
000322,0.7782981395721436,truck,0.7088499069213867,truck,True,True
000339,0.0,,0.0,,False,False
000344,0.6646461486816406,truck,0.5333850979804993,truck,True,True
000353,0.5381828546524048,truck,0.5874305367469788,bus,True,True
000355,0.8429355621337891,truck,0.8310145139694214,truck,True,True
000367,0.30217185616493225,truck,0.35185807943344116,truck,True,True
000368,0.0,,0.0,,False,False
000382,0.45784515142440796,truck,0.3072258532047272,truck,True,True
000383,0.5756101012229919,bus,0.5976179838180542,bus,True,True
000386,0.498902827501297,truck,0.6937690377235413,bus,True,True
000394,0.775147557258606,truck,0.6649819016456604,truck,True,True
000396,0.4924105107784271,truck,0.4296560287475586,truck,True,True
000397,0.6410868763923645,truck,0.47436103224754333,truck,True,True
000401,0.3037503659725189,bus,0.4731232523918152,bus,True,True
000405,0.6214547753334045,truck,0.647498369216919,bus,True,True
000407,0.6698384284973145,truck,0.69679856300354,truck,True,True
000409,0.8555472493171692,truck,0.8198218941688538,truck,True,True
000415,0.8482128381729126,truck,0.665849506855011,bus,True,True
000422,0.694412350654602,truck,0.6682038307189941,truck,True,True
000427,0.5101061463356018,truck,0.35852718353271484,car,True,True
000440,0.9258973002433777,car,0.5430904626846313,car,True,True
000441,0.7903328537940979,bus,0.8903367519378662,bus,True,True
000443,0.0,,0.0,,False,False
000446,0.8030979633331299,truck,0.6049483418464661,bus,True,True
000448,0.9077252745628357,truck,0.7948299050331116,truck,True,True
000449,0.8475288152694702,truck,0.6654165387153625,bus,True,True
000459,0.5974103808403015,car,0.6367054581642151,car,True,True
000476,0.7444298267364502,truck,0.8065456748008728,truck,True,True
000477,0.8492113351821899,truck,0.8008632659912109,truck,True,True
000478,0.8385372757911682,truck,0.7611123919487,truck,True,True
000482,0.7927132844924927,truck,0.41532352566719055,bus,True,True
000497,0.5059747099876404,truck,0.0,,True,False
000499,0.4942024350166321,truck,0.27357155084609985,truck,True,True
000501,0.34743720293045044,truck,0.3467825651168823,truck,True,True
000503,0.7775148749351501,truck,0.6939854025840759,car,True,True
000513,0.0,,0.0,,False,False
000515,0.8255842328071594,truck,0.7941699028015137,truck,True,True
000535,0.0,,0.0,,False,False
000538,0.5639573335647583,truck,0.0,,True,False
000539,0.8278969526290894,truck,0.4957004487514496,truck,True,True
000561,0.7151519060134888,truck,0.5407834649085999,truck,True,True
000564,0.6426984071731567,truck,0.3189801871776581,truck,True,True
000566,0.5705685019493103,bus,0.7421537041664124,bus,True,True
