step	idx	score	x	y	w	h	class
78	1	0.9745	-32.00	-40.00	0.00	0.00	0
79	0	0.9883	-32.00	-39.99	0.01	0.01	0
79	1	0.9743	-32.00	-40.00	-0.00	-0.00	0
80	0	0.9908	-32.00	-40.00	0.01	0.01	0
80	1	0.9712	-32.00	-40.00	-0.00	0.00	0
81	0	0.9887	-32.00	-40.00	0.01	0.01	0
81	1	0.9720	-32.00	-40.00	0.00	0.00	0
82	0	0.9908	-32.00	-40.00	0.01	0.01	0
82	1	0.9665	-32.00	-40.00	-0.00	0.00	0
83	0	0.9894	-32.00	-40.00	0.01	0.01	0
83	1	0.9662	-32.00	-40.00	0.00	0.00	0
84	0	0.9907	-32.00	-40.00	0.00	0.00	0
84	1	0.9707	-32.00	-40.00	-0.00	0.00	0
85	0	0.9903	-32.00	-40.00	0.01	0.01	0
85	1	0.9662	-32.00	-40.00	0.00	0.00	0
86	0	0.9888	-32.00	-40.00	0.00	0.01	0
86	1	0.9665	-32.00	-40.00	0.00	0.00	0
87	0	0.9906	-32.00	-40.00	0.00	0.00	0
87	1	0.9707	-32.00	-40.00	0.00	0.00	0
88	0	0.9900	-32.00	-40.00	0.00	0.01	0
88	1	0.9760	-32.00	-40.00	0.00	0.00	0
89	0	0.9921	-32.00	-40.00	0.00	0.00	0
89	1	0.9754	-32.00	-40.00	-0.00	0.00	0
90	0	0.9896	-32.00	-40.00	0.00	0.00	0
90	1	0.9744	-32.00	-40.00	-0.00	-0.00	0
91	0	0.9912	-32.00	-40.00	0.00	0.00	0
91	1	0.9761	-32.00	-40.00	-0.00	-0.00	0
92	0	0.9911	-32.00	-40.00	0.00	0.00	0
92	1	0.9779	-32.00	-40.00	-0.00	-0.00	0
92	2	0.9664	-32.00	-40.00	0.01	0.01	0
93	0	0.9915	-32.00	-40.00	0.00	0.00	0
93	1	0.9756	-32.00	-40.00	-0.00	0.00	0
93	2	0.9591	-32.00	-40.00	0.01	0.01	0
94	0	0.9910	-32.00	-40.00	0.00	0.00	0
94	1	0.9768	-32.00	-40.00	0.00	0.00	0
94	2	0.9624	-32.00	-39.99	0.01	0.01	0
95	0	0.9908	-32.00	-40.00	0.00	0.00	0
95	1	0.9740	-32.00	-40.00	0.00	0.00	0
95	2	0.9672	-32.00	-39.99	0.01	0.01	0
96	0	0.9913	-32.00	-40.00	0.00	0.00	0
96	1	0.9754	-32.00	-40.00	0.00	0.00	0
96	2	0.9630	-32.00	-39.99	0.01	0.01	0
