step	idx	score	x	y	w	h	class
87	1	0.9922	-32.00	-40.00	0.00	0.00	0
87	2	0.9885	-32.00	-40.00	-0.00	0.00	0
88	0	0.9934	-32.00	-40.00	0.00	0.00	0
88	1	0.9928	-32.00	-40.00	0.00	0.00	0
88	2	0.9909	-32.00	-40.00	-0.00	0.00	0
89	0	0.9939	-32.00	-40.00	0.00	0.00	0
89	1	0.9890	-32.00	-40.00	-0.00	-0.00	0
90	0	0.9939	-32.00	-40.00	0.00	0.00	0
90	1	0.9893	-32.00	-40.00	-0.00	-0.00	0
91	0	0.9933	-32.00	-40.00	0.00	0.00	0
91	1	0.9905	-32.00	-40.00	-0.00	-0.00	0
91	2	0.9887	-32.00	-40.00	0.00	0.00	0
92	0	0.9925	-32.00	-40.00	0.00	0.00	0
92	1	0.9905	-32.00	-40.00	-0.00	0.00	0
92	2	0.9876	-32.00	-40.00	0.00	0.00	0
93	0	0.9924	-32.00	-40.00	0.00	0.00	0
93	1	0.9888	-32.00	-40.00	-0.00	0.00	0
93	2	0.9882	-32.00	-40.00	0.01	0.01	0
94	0	0.9937	-32.00	-40.00	0.00	0.00	0
94	1	0.9899	-32.00	-40.00	-0.00	-0.00	0
95	0	0.9926	-32.00	-40.00	0.00	0.00	0
96	0	0.9932	-32.00	-40.00	0.00	0.00	0
96	1	0.9894	-32.00	-40.00	0.01	0.00	0
97	0	0.9929	-32.00	-40.00	0.00	0.00	0
97	1	0.9882	-32.00	-40.00	0.01	0.00	0
98	0	0.9919	-32.00	-40.00	0.00	0.00	0
98	1	0.9918	-32.00	-40.00	-0.00	-0.00	0
99	0	0.9932	-32.00	-40.00	-0.00	-0.00	0
99	1	0.9912	-32.00	-40.00	0.00	0.00	0
100	0	0.9925	-32.00	-40.00	0.00	0.00	0
101	0	0.9918	-32.00	-40.00	-0.00	-0.00	0
101	1	0.9910	-32.00	-40.00	0.00	0.00	0
102	0	0.9933	-32.00	-40.00	0.00	0.00	0
103	0	0.9940	-32.00	-40.00	0.00	0.00	0
103	1	0.9897	-32.00	-40.00	-0.00	0.00	0
104	0	0.9939	-32.00	-40.00	0.00	0.00	0
104	1	0.9929	-32.00	-40.00	0.00	0.00	0
104	2	0.9882	-32.00	-40.00	-0.00	0.00	0
105	0	0.9940	-32.00	-40.00	0.00	0.00	0
105	1	0.9934	-32.00	-40.00	0.00	0.00	0
105	2	0.9895	-32.00	-40.00	-0.00	0.00	0
106	0	0.9938	-32.00	-40.00	-0.00	-0.00	0
106	1	0.9923	-32.00	-40.00	0.00	0.00	0
107	0	0.9926	-32.00	-40.00	-0.00	0.00	0
107	1	0.9923	-32.00	-40.00	0.00	0.00	0
107	2	0.9863	-32.00	-40.00	0.00	0.00	0
108	0	0.9931	-32.00	-40.00	0.00	0.00	0
108	1	0.9916	-32.00	-40.00	0.00	0.00	0
108	2	0.9885	-32.00	-40.00	-0.00	0.00	0
