step	score	x	y	w	h	class
199	0.8908	19.30	0.12	2.79	1.07	0
200	0.8591	19.74	0.14	2.75	1.06	0
201	0.8813	19.65	0.15	2.76	1.06	0
202	0.8750	19.67	0.17	2.84	1.10	0
203	0.8811	19.59	0.13	2.76	1.06	0
204	0.8731	19.46	0.10	2.77	1.07	0
205	0.8852	19.45	0.13	2.83	1.09	0
206	0.8985	19.38	0.18	2.84	1.10	0
207	0.8731	19.37	0.11	2.78	1.07	0
208	0.8849	19.55	0.15	2.77	1.07	0
209	0.8892	19.40	0.21	2.84	1.10	0
210	0.8890	19.61	0.17	2.76	1.06	0
211	0.8863	19.67	0.17	2.75	1.06	0
212	0.9110	19.58	0.19	2.77	1.07	0
213	0.8963	19.33	0.18	2.77	1.07	0
214	0.8115	19.16	0.14	2.78	1.07	0
215	0.8021	19.16	0.18	2.77	1.07	0
216	0.8834	18.72	0.16	2.75	1.07	0
217	0.8891	18.41	0.21	2.84	1.11	0
218	0.8827	18.44	0.17	2.81	1.10	0
219	0.8968	18.58	0.15	2.81	1.10	0
220	0.8383	18.21	0.12	2.76	1.07	0
221	0.7931	17.82	0.10	2.75	1.07	0
222	0.8562	17.57	0.08	2.78	1.08	0
223	0.8264	17.31	0.09	2.82	1.08	0
224	0.7972	16.68	0.09	2.82	1.09	0
225	0.7935	16.31	0.11	2.81	1.08	0
226	0.7755	15.78	0.09	2.83	1.09	0
227	0.8072	15.34	0.09	2.84	1.09	0
228	0.7953	14.54	0.16	2.80	1.10	0
229	0.8234	14.56	0.12	2.80	1.08	0
230	0.8479	14.46	0.08	2.79	1.08	0
231	0.8476	13.63	0.10	2.78	1.08	0
232	0.8077	12.85	0.13	2.80	1.07	0
233	0.8342	12.38	0.20	2.80	1.08	0
234	0.8741	12.24	0.22	2.83	1.11	0
235	0.8526	11.86	0.18	2.85	1.11	0
236	0.8754	11.81	0.19	2.84	1.11	0
237	0.8649	11.67	0.26	2.84	1.13	0
238	0.7815	11.50	0.12	2.83	1.09	0
239	0.8523	11.27	0.15	2.76	1.09	0
240	0.8696	11.34	0.16	2.83	1.11	0
241	0.8568	11.24	0.15	2.83	1.11	0
242	0.8304	11.22	0.16	2.81	1.09	0
243	0.8519	10.83	0.17	2.85	1.13	0
244	0.8413	10.57	0.10	2.77	1.09	0
245	0.8016	10.63	0.10	2.83	1.08	0
246	0.8751	10.44	0.09	2.79	1.09	0
247	0.8195	10.25	0.12	2.82	1.11	0
248	0.8059	10.24	0.11	2.85	1.08	0
249	0.8211	9.83	0.17	2.84	1.12	0
250	0.8745	9.84	0.17	2.84	1.11	0
251	0.8573	9.75	0.20	2.84	1.12	0
252	0.8582	9.75	0.18	2.83	1.12	0
253	0.8737	9.74	0.16	2.83	1.11	0
254	0.8940	9.76	0.14	2.84	1.11	0
255	0.9061	9.78	0.15	2.85	1.11	0
256	0.9003	9.78	0.15	2.85	1.11	0
257	0.8971	9.79	0.15	2.85	1.11	0
258	0.8967	9.79	0.15	2.85	1.11	0
259	0.8940	9.79	0.15	2.86	1.11	0
260	0.8927	9.75	0.15	2.85	1.11	0
261	0.9104	9.77	0.15	2.86	1.11	0
262	0.9083	9.76	0.14	2.86	1.11	0
263	0.9092	9.76	0.14	2.86	1.11	0
264	0.9189	9.76	0.14	2.85	1.11	0
265	0.9175	9.75	0.14	2.86	1.11	0
266	0.9201	9.77	0.13	2.86	1.11	0
267	0.9230	9.77	0.12	2.86	1.11	0
268	0.9151	9.75	0.13	2.86	1.11	0
269	0.9156	9.74	0.12	2.86	1.11	0
270	0.9101	9.73	0.13	2.86	1.11	0
271	0.9223	9.77	0.13	2.86	1.11	0
272	0.9158	9.77	0.13	2.86	1.11	0
273	0.9259	9.76	0.13	2.86	1.11	0
274	0.9223	9.75	0.13	2.86	1.11	0
275	0.9215	9.77	0.13	2.87	1.11	0
276	0.9236	9.75	0.12	2.86	1.11	0
277	0.9206	9.75	0.12	2.86	1.11	0
278	0.9229	9.75	0.13	2.86	1.11	0
279	0.9220	9.76	0.12	2.86	1.11	0
280	0.9203	9.76	0.13	2.86	1.11	0
281	0.9240	9.76	0.13	2.86	1.11	0
282	0.9133	9.74	0.12	2.86	1.11	0
283	0.9277	9.77	0.12	2.86	1.11	0
284	0.9238	9.75	0.13	2.86	1.11	0
285	0.9201	9.75	0.12	2.87	1.12	0
286	0.9235	9.76	0.12	2.86	1.11	0
287	0.9292	9.76	0.12	2.86	1.11	0
288	0.9162	9.76	0.12	2.86	1.11	0
289	0.9192	9.76	0.12	2.86	1.11	0
290	0.9157	9.76	0.13	2.86	1.11	0
291	0.9171	9.75	0.12	2.86	1.11	0
292	0.9185	9.74	0.13	2.86	1.11	0
293	0.9155	9.73	0.12	2.86	1.11	0
294	0.9168	9.74	0.12	2.86	1.11	0
295	0.9194	9.77	0.12	2.86	1.11	0
296	0.9240	9.76	0.13	2.86	1.11	0
297	0.9201	9.76	0.12	2.86	1.11	0
298	0.9260	9.77	0.13	2.86	1.11	0
299	0.9223	9.75	0.12	2.87	1.11	0
