step	score	x	y	w	h	class
168	0.8760	23.56	0.29	2.84	1.11	0
169	0.8584	23.60	0.11	2.78	1.09	0
170	0.8613	23.71	0.27	2.84	1.11	0
171	0.8364	23.75	0.07	2.78	1.09	0
172	0.7698	23.72	0.06	2.79	1.09	0
173	0.7617	23.81	0.07	2.79	1.09	0
174	0.8290	24.31	0.24	2.82	1.11	0
175	0.7683	23.83	0.09	2.78	1.09	0
176	0.7854	23.76	0.08	2.78	1.09	0
177	0.8087	23.75	0.11	2.83	1.10	0
178	0.7269	23.79	0.13	2.82	1.10	0
179	0.8073	24.63	-0.18	2.85	1.11	0
180	0.7896	24.59	-0.16	2.86	1.11	0
181	0.7781	25.37	0.07	2.81	1.10	0
182	0.8095	25.36	0.10	2.83	1.11	0
183	0.8302	25.59	0.09	2.83	1.11	0
184	0.8310	25.52	0.10	2.83	1.11	0
185	0.8395	25.65	0.12	2.83	1.11	0
186	0.8285	25.47	0.15	2.83	1.11	0
187	0.7844	25.33	0.18	2.83	1.11	0
188	0.7999	25.35	0.19	2.84	1.11	0
189	0.7958	25.68	0.10	2.79	1.09	0
190	0.6966	25.83	0.08	2.78	1.09	0
191	0.7675	25.80	0.08	2.78	1.09	0
192	0.8113	26.33	0.10	2.82	1.11	0
193	0.7562	26.19	0.10	2.84	1.11	0
194	0.7848	26.68	-0.16	2.86	1.11	0
195	0.8311	26.61	0.09	2.84	1.11	0
196	0.8307	26.59	0.08	2.84	1.11	0
197	0.8159	26.37	0.09	2.84	1.11	0
198	0.7853	26.27	0.10	2.83	1.11	0
199	0.6967	27.17	0.09	2.81	1.10	0
200	0.7528	26.82	0.08	2.78	1.08	0
201	0.7961	27.28	0.11	2.83	1.11	0
202	0.7960	27.25	0.09	2.82	1.10	0
203	0.7193	27.19	0.09	2.82	1.10	0
204	0.7436	26.83	0.07	2.82	1.10	0
205	0.7969	27.40	0.09	2.82	1.10	0
206	0.8063	27.58	0.09	2.81	1.10	0
207	0.7926	27.56	0.11	2.83	1.11	0
208	0.7843	27.46	0.12	2.83	1.11	0
209	0.8033	27.44	0.13	2.83	1.11	0
210	0.8240	27.37	-0.17	2.87	1.11	0
211	0.8060	27.50	0.07	2.83	1.10	0
212	0.8352	27.57	-0.19	2.86	1.10	0
