step	idx	score	x	y	w	h	class
55	3	0.8421	15.45	0.10	2.76	1.07	0
56	0	0.9984	-32.00	-40.00	-0.00	-0.00	0
56	1	0.9973	-32.00	-40.00	0.00	-0.00	0
56	2	0.8402	15.57	0.09	2.76	1.07	0
57	0	0.9983	-32.00	-40.00	-0.00	-0.00	0
57	1	0.9973	-32.00	-40.00	0.00	-0.00	0
57	2	0.9970	-32.00	-40.00	-0.00	-0.00	0
57	3	0.8218	15.36	-0.18	2.81	1.09	0
58	0	0.9984	-32.00	-40.00	-0.00	-0.00	0
58	1	0.9973	-32.00	-40.00	0.00	-0.00	0
58	2	0.9968	-32.00	-40.00	-0.00	-0.00	0
58	3	0.7862	15.68	0.08	2.76	1.08	0
59	0	0.9981	-32.00	-40.00	-0.00	-0.00	0
59	1	0.9971	-32.00	-40.00	0.00	-0.00	0
59	2	0.9965	-32.00	-40.00	-0.00	-0.00	0
59	3	0.7942	15.72	-0.20	2.80	1.08	0
60	0	0.9983	-32.00	-40.00	-0.00	-0.00	0
60	1	0.9979	-32.00	-40.00	0.00	-0.00	0
60	2	0.9958	-32.00	-40.00	-0.00	-0.00	0
60	3	0.7343	15.82	-0.10	2.76	1.06	0
61	0	0.9983	-32.00	-40.00	-0.00	-0.00	0
61	1	0.9980	-32.00	-40.00	0.00	-0.00	0
61	2	0.9960	-32.00	-40.00	-0.00	-0.00	0
61	3	0.7544	16.15	-0.29	2.79	1.08	0
62	0	0.9986	-32.00	-40.00	-0.00	-0.00	0
62	1	0.9983	-32.00	-40.00	0.00	-0.00	0
62	2	0.9960	-32.00	-40.00	-0.00	-0.00	0
62	3	0.8453	16.24	-0.25	2.79	1.07	0
63	0	0.9990	-32.00	-40.00	-0.00	-0.00	0
63	1	0.9978	-32.00	-40.00	0.00	-0.00	0
63	2	0.9961	-32.00	-40.00	-0.00	-0.00	0
63	3	0.7544	16.16	-0.22	2.79	1.08	0
64	0	0.9989	-32.00	-40.00	-0.00	-0.00	0
64	1	0.9979	-32.00	-40.00	0.00	-0.00	0
64	2	0.9971	-32.00	-40.00	-0.00	-0.00	0
64	3	0.8336	16.24	-0.26	2.80	1.08	0
65	0	0.9986	-32.00	-40.00	-0.00	-0.00	0
65	1	0.9980	-32.00	-40.00	0.00	-0.00	0
65	2	0.9968	-32.00	-40.00	-0.00	-0.00	0
65	3	0.8607	16.47	-0.29	2.78	1.07	0
66	0	0.9987	-32.00	-40.00	-0.00	-0.00	0
66	1	0.9981	-32.00	-40.00	0.00	-0.00	0
66	2	0.9969	-32.00	-40.00	-0.00	-0.00	0
66	3	0.8316	16.69	-0.25	2.80	1.08	0
67	0	0.9991	-32.00	-40.00	0.00	-0.00	0
67	1	0.9985	-32.00	-40.00	0.00	0.00	0
67	2	0.9978	-32.00	-40.00	0.00	-0.00	0
67	3	0.8290	16.71	-0.32	2.77	1.07	0
68	0	0.9989	-32.00	-40.00	-0.00	-0.00	0
68	1	0.9980	-32.00	-40.00	0.00	-0.00	0
68	2	0.9972	-32.00	-40.00	-0.00	-0.00	0
68	3	0.8002	16.65	0.05	2.76	1.07	0
69	0	0.9985	-32.00	-40.00	-0.00	-0.00	0
69	1	0.9977	-32.00	-40.00	-0.00	-0.00	0
69	2	0.9966	-32.00	-40.00	-0.00	-0.00	0
69	3	0.7923	16.79	0.07	2.75	1.07	0
70	0	0.9984	-32.00	-40.00	-0.00	-0.00	0
70	1	0.9978	-32.00	-40.00	-0.00	-0.00	0
70	2	0.9967	-32.00	-40.00	-0.00	-0.00	0
70	3	0.7384	16.87	0.09	2.74	1.06	0
71	0	0.9991	-32.00	-40.00	-0.00	-0.00	0
71	1	0.9983	-32.00	-40.00	0.00	-0.00	0
71	2	0.9970	-32.00	-40.00	-0.00	-0.00	0
71	3	0.7619	16.87	0.11	2.75	1.06	0
72	0	0.9992	-32.00	-40.00	-0.00	-0.00	0
72	1	0.9984	-32.00	-40.00	0.00	0.00	0
72	2	0.9979	-32.00	-40.00	-0.00	-0.00	0
72	3	0.8552	17.41	0.12	2.75	1.07	0
73	0	0.9985	-32.00	-40.00	-0.00	-0.00	0
73	1	0.9972	-32.00	-40.00	0.00	-0.00	0
73	2	0.8366	17.37	0.11	2.76	1.07	0
74	0	0.9982	-32.00	-40.00	-0.00	-0.00	0
74	1	0.9971	-32.00	-40.00	0.00	-0.00	0
74	2	0.8380	17.46	0.09	2.76	1.07	0
75	0	0.9979	-32.00	-40.00	-0.00	-0.00	0
75	1	0.8348	17.66	0.09	2.75	1.07	0
76	0	0.9982	-32.00	-40.00	-0.00	-0.00	0
76	1	0.9966	-32.00	-40.00	-0.00	-0.00	0
76	2	0.7991	17.75	0.07	2.74	1.07	0
77	0	0.9987	-32.00	-40.00	-0.00	-0.00	0
77	1	0.9970	-32.00	-40.00	0.00	-0.00	0
77	2	0.9968	-32.00	-40.00	-0.00	-0.00	0
77	3	0.7172	18.21	-0.13	2.77	1.08	0
78	0	0.9981	-32.00	-40.00	-0.00	-0.00	0
78	1	0.9971	-32.00	-40.00	-0.00	-0.00	0
78	2	0.9944	-32.00	-40.00	-0.00	-0.00	0
78	3	0.7687	18.24	-0.16	2.75	1.07	0
79	0	0.9981	-32.00	-40.00	-0.00	-0.00	0
79	1	0.7964	18.27	-0.15	2.77	1.08	0
80	0	0.9984	-32.00	-40.00	-0.00	-0.00	0
80	1	0.9938	-32.00	-40.00	-0.00	-0.00	0
80	2	0.8381	18.28	-0.29	2.77	1.08	0
81	0	0.9982	-32.00	-40.00	-0.00	-0.00	0
81	1	0.8389	18.26	-0.22	2.79	1.09	0
82	0	0.9982	-32.00	-40.00	-0.00	-0.00	0
82	1	0.8461	18.72	-0.49	2.78	1.07	0
83	0	0.9981	-32.00	-40.00	-0.00	-0.00	0
83	1	0.9958	-32.00	-40.00	-0.00	-0.00	0
83	2	0.8098	19.24	-0.31	2.74	1.06	0
83	3	0.3939	-0.54	-31.69	2.41	1.00	0
84	0	0.9984	-32.00	-40.00	-0.00	-0.00	0
84	1	0.8409	19.37	-0.28	2.78	1.08	0
84	2	0.3366	-1.43	-31.66	2.41	1.00	0
85	0	0.9978	-32.00	-40.00	-0.00	-0.00	0
85	1	0.9960	-32.00	-40.00	-0.00	-0.00	0
85	2	0.8710	19.44	-0.37	2.79	1.08	0
85	3	0.3075	-2.45	-31.65	2.41	1.00	0
86	0	0.9971	-32.00	-40.00	-0.00	-0.00	0
86	1	0.9960	-32.00	-40.00	-0.00	-0.00	0
86	2	0.8629	19.62	-0.38	2.79	1.09	0
87	0	0.9975	-32.00	-40.00	-0.00	-0.00	0
87	1	0.9964	-32.00	-40.00	-0.00	-0.00	0
87	2	0.8676	19.53	-0.65	2.79	1.09	0
88	0	0.9967	-32.00	-40.00	-0.00	-0.00	0
88	1	0.9961	-32.00	-40.00	-0.00	-0.00	0
88	2	0.9934	-32.00	-40.00	-0.00	-0.00	0
88	3	0.7250	19.84	-0.91	2.80	1.09	0
89	0	0.9967	-32.00	-40.00	-0.00	-0.00	0
89	1	0.8042	20.16	-1.38	2.77	1.06	0
90	0	0.9967	-32.00	-40.00	-0.00	-0.00	0
90	1	0.9962	-32.00	-40.00	-0.00	-0.00	0
90	2	0.8541	20.21	-1.50	2.79	1.09	0
91	0	0.9963	-32.00	-40.00	-0.00	-0.00	0
91	1	0.9956	-32.00	-40.00	-0.00	-0.00	0
91	2	0.8469	20.23	-1.57	2.80	1.09	0
92	0	0.9962	-32.00	-40.00	-0.00	-0.00	0
92	1	0.9958	-32.00	-40.00	-0.00	-0.00	0
92	2	0.8781	20.24	-1.39	2.81	1.09	0
93	0	0.9974	-32.00	-40.00	-0.00	-0.00	0
93	1	0.9969	-32.00	-40.00	-0.00	-0.00	0
93	2	0.8564	20.28	-1.23	2.77	1.06	0
94	0	0.9971	-32.00	-40.00	-0.00	-0.00	0
94	1	0.9969	-32.00	-40.00	-0.00	-0.00	0
94	2	0.8641	20.42	-0.65	2.78	1.07	0
95	0	0.9970	-32.00	-40.00	-0.00	-0.00	0
95	1	0.9958	-32.00	-40.00	-0.00	-0.00	0
95	2	0.8078	20.60	0.10	2.80	1.09	0
95	3	0.3110	-3.57	-32.30	2.41	0.98	0
96	0	0.9978	-32.00	-40.00	-0.00	-0.00	0
96	1	0.9974	-32.00	-40.00	-0.00	-0.00	0
96	2	0.9966	-32.00	-40.00	-0.00	-0.00	0
96	3	0.8277	20.51	0.71	2.74	1.06	0
96	4	0.5258	-4.40	-32.39	2.44	0.99	0
97	0	0.9977	-32.00	-40.00	-0.00	-0.00	0
97	1	0.9970	-32.00	-40.00	-0.00	-0.00	0
97	2	0.9957	-32.00	-40.00	-0.00	-0.00	0
97	3	0.8409	20.52	1.49	2.79	1.09	0
97	4	0.5609	-3.60	-32.47	2.43	0.99	0
98	0	0.9975	-32.00	-40.00	-0.00	-0.00	0
98	1	0.9965	-32.00	-40.00	-0.00	-0.00	0
98	2	0.7617	20.67	1.85	2.80	1.09	0
98	3	0.5117	-4.45	-32.47	2.42	0.98	0
99	0	0.9976	-32.00	-40.00	-0.00	-0.00	0
99	1	0.9968	-32.00	-40.00	-0.00	-0.00	0
99	2	0.8317	20.52	2.19	2.81	1.10	0
99	3	0.4641	-4.53	-32.41	2.42	0.99	0
100	0	0.9972	-32.00	-40.00	-0.00	-0.00	0
100	1	0.9964	-32.01	-40.00	-0.00	-0.00	0
100	2	0.9958	-32.00	-40.00	-0.00	-0.00	0
100	3	0.8457	20.63	2.10	2.81	1.09	0
100	4	0.3197	-5.56	-32.32	2.41	0.99	0
101	0	0.9970	-32.00	-40.00	-0.00	-0.00	0
101	1	0.9967	-32.00	-40.00	-0.00	-0.00	0
101	2	0.8540	20.69	1.78	2.79	1.08	0
101	3	0.3500	-6.59	-31.74	2.43	0.98	0
102	0	0.9974	-32.00	-40.00	-0.00	-0.00	0
102	1	0.9966	-32.00	-40.00	-0.00	-0.00	0
102	2	0.8409	20.78	1.31	2.81	1.09	0
102	3	0.3396	-7.56	-32.25	2.40	0.98	0
103	0	0.9971	-32.00	-40.00	-0.00	-0.00	0
103	1	0.9967	-32.00	-40.00	-0.00	-0.00	0
103	2	0.8490	20.62	0.44	2.81	1.09	0
104	0	0.9974	-32.00	-40.00	-0.00	-0.00	0
104	1	0.9967	-32.00	-40.00	-0.00	-0.00	0
